customer_id,name,segment_id,location_id
RH-19495,Rick Hansen,1,1
JR-16210,Justin Ritter,2,2
CR-12730,Craig Reiter,1,3
KM-16375,Katherine Murray,3,4
RH-9495,Rick Hansen,1,5
JM-15655,Jim Mitchum,2,6
TS-21340,Toby Swindell,1,7
MB-18085,Mick Brown,1,8
JW-15220,Jane Waco,2,9
JH-15985,Joseph Holt,1,10
GM-14695,Greg Maxwell,2,11
AJ-10780,Anthony Jacobs,2,12
MM-7260,Magdelene Morse,1,13
VF-21715,Vicky Freymann,3,14
PF-19120,Peter Fuller,1,15
BP-11185,Ben Peterman,2,16
TB-21175,Thomas Boland,2,17
PJ-18835,Patrick Jones,2,18
JS-15685,Jim Sink,2,19
RH-9555,Ritsa Hightower,1,20
AB-600,Ann Blume,2,21
SA-20830,Sue Ann Reed,1,22
JK-15325,Jason Klamczynski,2,23
LB-16795,Laurel Beltran,3,24
NP-18325,Naresj Patel,1,25
VD-21670,Valerie Dominguez,1,26
PB-19210,Phillip Breyer,2,27
EB-14110,Eugene Barchas,1,28
KF-16285,Karen Ferguson,3,29
BP-11230,Benjamin Patterson,1,30
RR-19525,Rick Reed,2,31
BS-11365,Bill Shonely,2,32
JE-15745,Joel Eaton,1,33
DP-13105,Dave Poirier,2,34
NP-18700,Nora Preis,1,35
AH-30,Aaron Hawkins,2,36
DM-13015,Darrin Martin,1,37
GT-14635,Grant Thornton,2,38
PO-18865,Patrick O'Donnell,1,39
DL-12865,Dan Lawera,1,3
JB-16000,Joy Bell-,1,40
BF-11005,Barry Franz,3,41
VG-21805,Vivek Grady,2,42
GT-14710,Greg Tran,1,43
ZC-21910,Zuschuss Carroll,1,4
SC-20095,Sanjit Chand,1,44
EB-13840,Ellis Ballard,2,45
AP-10915,Arthur Prichep,1,46
SW-20275,Scott Williamson,1,47
JH-15820,John Huston,1,48
LC-16885,Lena Creighton,1,37
TG-11640,Trudy Glocke,1,49
HR-14830,Harold Ryan,2,50
DG-3300,Deirdre Greer,2,51
SG-20470,Sheri Gordon,1,52
FH-14365,Fred Hopkins,2,53
GP-14740,Guy Phonely,2,54
MW-18220,Mitch Webber,1,55
PO-18850,Patrick O'Brill,1,56
CS-12460,Chuck Sachs,1,57
KD-16495,Keith Dawkins,2,1
MS-17980,Michael Stewart,2,58
KC-16675,Kimberly Carter,2,59
DB-13405,Denny Blanton,1,60
JD-15895,Jonathan Doherty,2,61
DK-13090,Dave Kipp,1,62
CS-11845,Cari Sayre,2,63
EM-14200,Evan Minnotte,3,64
DW-3480,Dianna Wilson,3,65
AS-10225,Alan Schoenberger,2,66
ST-20530,Shui Tom,1,67
BW-1065,Barry Weirich,1,68
LA-16780,Laura Armstrong,2,69
AB-10150,Aimee Bixby,1,70
JH-15820,John Huston,1,71
CM-12385,Christopher Martinez,1,72
BE-11410,Bobby Elias,1,73
SZ-20035,Sam Zeldin,3,74
RM-19375,Raymond Messe,1,75
HG-14845,Harry Greene,1,76
DP-3105,Dave Poirier,2,77
AR-10540,Andy Reiter,1,78
TP-21415,Tom Prescott,1,79
JB-16000,Joy Bell-,1,80
AM-10705,Anne McFarland,1,81
AB-255,Alejandro Ballentine,3,82
RP-19270,Rachel Payne,2,6
BK-11260,Berenike Kampe,1,83
JM-15250,Janet Martin,1,23
LW-16990,Lindsay Williams,2,84
NZ-18565,Nick Zandusky,3,16
SV-10815,Stuart Van,2,85
SC-20695,Steve Chapman,2,86
NC-18625,Noah Childs,2,87
NF-18385,Natalie Fritzler,1,88
NZ-18565,Nick Zandusky,3,89
PM-18940,Paul MacIntyre,1,90
MZ-17335,Maria Zettner,3,91
HM-4980,Henry MacAllister,1,92
RW-19540,Rick Wilson,2,93
LH-17155,Logan Haushalter,1,94
FH-14365,Fred Hopkins,2,95
KM-16660,Khloe Miller,1,96
PO-18865,Patrick O'Donnell,1,97
AB-10060,Adam Bellavance,3,98
AB-10060,Adam Bellavance,3,99
DB-13060,Dave Brooks,1,34
VM-21685,Valerie Mitchum,3,100
BS-11365,Bill Shonely,2,101
DM-13525,Don Miller,2,102
NM-18520,Neoma Murray,1,103
LC-16885,Lena Creighton,1,6
